22;781;0;normal
23;782;0;normal
23;779;0;normal
23;779;0;normal
23;778;0;normal
23;783;0;normal
22;777;0;normal
23;782;0;normal
23;779;0;normal
23;780;0;normal
23;779;0;normal
23;779;0;normal
23;780;0;normal
23;779;0;normal
24;781;0;normal
23;779;0;normal
23;779;0;normal
23;783;0;normal
22;779;0;normal
23;779;0;normal
23;778;0;normal
23;781;0;normal
23;779;0;normal
24;781;0;normal
23;770;0;normal
25;773;0;normal
27;771;0;normal
25;761;0;normal
30;758;0;normal
32;759;0;normal
33;777;0;normal
31;789;0;normal
28;800;0;normal
25;791;0;normal
25;791;0;normal
23;788;0;normal
24;786;0;normal
24;784;0;normal
24;784;0;normal
24;781;0;normal
24;784;0;normal
24;782;0;normal
25;781;0;normal
24;783;0;normal
24;778;0;normal
25;780;0;normal
25;771;0;normal
26;774;0;normal
27;767;0;normal
28;757;0;normal
32;772;0;normal
32;786;0;normal
24;794;0;normal
23;796;0;normal
22;814;0;normal
34;995;0;normal
53;1112;0;normal
35;1217;0;normal
36;1336;0;normal
38;1406;0;normal
29;1395;0;normal
28;1367;1;normal
26;1318;1;normal
25;1289;2;normal
24;1203;3;normal
27;1118;3;normal
32;1111;4;normal
36;1117;4;normal
36;1112;5;normal
39;1090;6;normal
41;1083;6;normal
42;1087;7;normal
43;1077;7;normal
44;1090;8;normal
45;1139;8;normal
41;1157;8;normal
35;1167;8;normal
34;1164;8;normal
35;1160;9;normal
34;1149;9;normal
41;1182;9;normal
50;1217;9;normal
54;1280;10;normal
58;1337;10;normal
58;1390;11;normal
57;1426;11;normal
53;1438;12;normal
52;1446;12;normal
54;1481;13;normal
61;1433;14;normal
72;1275;15;normal
74;1351;16;normal
78;1416;17;normal
79;1523;18;normal
79;1582;19;normal
79;1670;20;normal
80;1722;20;normal
83;1803;21;normal
87;1914;22;normal
88;2029;24;normal
90;2123;25;normal
94;2262;26;normal
98;2383;28;normal
99;2510;30;normal
99;2696;31;normal
99;2889;34;normal
100;3064;37;normal
99;3235;36;normal
100;3339;38;normal
100;3500;38;normal
98;3544;42;normal
100;3538;43;normal
76;3509;42;normal
76;3709;43;normal
96;3760;44;normal
99;3867;45;normal
98;3943;46;normal
99;4062;47;normal
99;4141;49;normal
100;4216;49;normal
100;4281;50;normal
100;4372;51;normal
100;4426;52;normal
100;4513;53;normal
100;4577;54;normal
100;4644;55;normal
