22,781,0,1
23,782,0,1
23,779,0,1
23,779,0,1
23,778,0,1
23,783,0,1
22,777,0,1
23,782,0,1
23,779,0,1
23,780,0,1
23,779,0,1
23,779,0,1
23,780,0,1
23,779,0,1
24,781,0,1
23,779,0,1
23,779,0,1
23,783,0,1
22,779,0,1
23,779,0,1
23,778,0,1
23,781,0,1
23,779,0,1
24,781,0,1
23,770,0,1
25,773,0,1
27,771,0,1
25,761,0,1
30,758,0,1
32,759,0,1
33,777,0,1
31,789,0,1
28,800,0,1
25,791,0,1
25,791,0,1
23,788,0,1
24,786,0,1
24,784,0,1
24,784,0,1
24,781,0,1
24,784,0,1
24,782,0,1
25,781,0,1
24,783,0,1
24,778,0,1
25,780,0,1
25,771,0,1
26,774,0,1
27,767,0,1
28,757,0,1
32,772,0,1
32,786,0,1
24,794,0,1
23,796,0,1
22,814,0,1
34,995,0,1
53,1112,0,1
35,1217,0,1
36,1336,0,1
38,1406,0,1
29,1395,0,1
28,1367,1,1
26,1318,1,1
25,1289,2,1
24,1203,3,1
27,1118,3,1
32,1111,4,1
36,1117,4,1
36,1112,5,1
39,1090,6,1
41,1083,6,1
42,1087,7,1
43,1077,7,1
44,1090,8,1
45,1139,8,1
41,1157,8,1
35,1167,8,1
34,1164,8,1
35,1160,9,1
34,1149,9,1
41,1182,9,1
50,1217,9,1
54,1280,10,1
58,1337,10,1
58,1390,11,1
57,1426,11,1
53,1438,12,1
52,1446,12,1
54,1481,13,1
61,1433,14,1
72,1275,15,1
74,1351,16,1
78,1416,17,1
79,1523,18,1
79,1582,19,1
79,1670,20,1
80,1722,20,1
83,1803,21,1
87,1914,22,1
88,2029,24,1
90,2123,25,1
94,2262,26,1
98,2383,28,1
99,2510,30,1
99,2696,31,1
99,2889,34,1
100,3064,37,1
99,3235,36,1
100,3339,38,1
100,3500,38,1
98,3544,42,1
100,3538,43,1
76,3509,42,1
76,3709,43,1
96,3760,44,1
99,3867,45,1
98,3943,46,1
99,4062,47,1
99,4141,49,1
100,4216,49,1
100,4281,50,1
100,4372,51,1
100,4426,52,1
100,4513,53,1
100,4577,54,1
100,4644,55,1
100,4662,55,1
100,4726,55,1
99,3900,56,1
20,3345,56,1
68,3153,57,1
92,3165,57,1
94,3184,58,1
94,3216,58,1
96,3261,59,1
99,3312,60,1
99,3360,61,1
100,3397,62,1
100,3439,63,1
100,3485,63,1
100,3524,64,1
100,3561,65,1
100,3605,66,1
100,3641,66,1
100,3679,67,1
100,3716,68,1
100,3743,68,1
100,3777,69,1
100,3807,69,1
100,3829,70,1
100,3869,70,1
100,3914,71,1
99,3948,72,1
100,3975,72,1
100,4006,73,1
100,4042,74,1
100,4074,74,1
100,4113,75,1
100,4141,75,1
100,4167,76,1
100,4190,76,1
100,4210,77,1
100,4234,77,1
100,4260,78,1
100,4283,78,1
100,4314,79,1
100,4332,79,1
99,4359,79,1
100,4389,80,1
100,4417,80,1
100,4445,81,2
100,4472,81,2
100,4492,82,2
100,4520,82,2
100,4536,83,2
100,4557,83,2
100,4580,83,2
100,4610,84,2
100,4626,84,2
100,4595,84,2
100,4663,85,2
98,4667,85,2
100,3733,85,2
58,3442,85,2
79,3317,85,2
92,3272,86,2
99,3281,86,2
100,3292,86,2
99,3309,87,2
100,3326,87,2
100,3341,87,2
100,3354,88,2
100,3366,88,2
100,3378,89,2
100,3395,89,2
100,3406,89,2
100,3417,90,2
100,3419,90,2
78,3441,90,2
72,3450,90,2
70,3429,90,2
40,3404,89,2
14,3323,89,2
35,3356,88,2
27,3294,85,2
15,3221,84,2
31,3205,84,2
31,3192,84,2
30,3160,83,2
16,3125,83,2
19,3112,82,2
7,3092,81,2
27,3061,80,1
39,3045,80,1
11,2843,74,1
19,2811,74,1
70,2756,70,1
36,2657,70,1
34,2652,69,1
41,2662,70,1
60,2648,69,1
68,2646,69,1
69,2665,70,1
71,2669,70,1
73,2682,70,1
72,2690,70,1
72,2696,70,1
72,2701,71,1
74,2710,71,1
75,2718,71,1
75,2731,71,1
75,2743,72,1
76,2753,72,1
76,2763,72,1
76,2770,73,1
76,2785,73,1
76,2788,73,1
76,2803,73,1
76,2806,74,1
76,2817,74,1
76,2825,74,1
77,2833,74,1
77,2841,74,1
77,2850,75,1
78,2856,75,1
79,2870,75,1
85,2882,75,1
86,2889,76,1
86,2902,76,1
86,2916,76,1
86,2928,77,1
88,2947,77,1
92,2954,77,1
100,2972,78,1
100,2983,78,1
46,2957,78,1
58,2927,78,1
23,2913,77,1
27,2914,77,1
35,1903,47,1
78,2005,47,1
10,2112,47,1
12,2236,46,1
12,2372,46,1
15,2528,46,1
20,2529,46,1
24,2492,45,1
23,2495,45,1
21,2477,45,1
21,2476,45,1
21,2474,45,1
15,2481,45,1
14,2468,45,1
15,2441,44,1
17,2429,45,1
